"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","conn.in_enc_timed","conn.ou_enc_timed","conn.in_enc_count","conn.ou_enc_count","conn.in_tsize","conn.ou_tsize","conn.in_asize","conn.ou_asize","conn.in_rateps","conn.ou_rateps","attack"
"Tcp","4","75864","54","80","-1","16","3932000","1002000","9","4","3309","16719","367.0","4179.0","4.5","2.0","false"
"Tcp","4","75864","54","80","-1","16","34000","1002000","11","4","3417","16719","310.0","4179.0","5.5","2.0","false"
"Tcp","4","75864","54","21","-1","17","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75864","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75865","54","21","-1","16","3981000","-1","2","0","120","0","60.0","0.0","2.0","0.0","false"
"Tcp","4","75865","70","21","-1","24","67000","-1","4","0","244","0","61.0","0.0","4.0","0.0","false"
"Tcp","4","75865","54","21","-1","17","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75865","66","21","-1","2","0","-1","1","0","66","0","66.0","0.0","1.0","0.0","false"
"Tcp","4","75865","54","21","-1","16","4058000","-1","3","0","174","0","58.0","0.0","3.0","0.0","false"
"Icmp","4","75865","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75866","66","21","-1","2","0","-1","1","0","66","0","66.0","0.0","1.0","0.0","false"
"Tcp","4","75866","54","21","-1","16","3995000","-1","3","1","174","60","58.0","60.0","3.0","1.0","false"
"Tcp","4","75866","54","80","-1","17","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75866","54","80","-1","16","3951000","-1","2","0","120","0","60.0","0.0","2.0","0.0","false"
"Icmp","4","75866","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75866","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75866","54","80","-1","16","4894100000","-1","5","1","922","60","184.0","60.0","1.0","0.2","false"
"Tcp","4","75867","54","80","-1","16","4894320000","-1","6","1","1630","60","271.0","60.0","1.2","0.2","false"
"Tcp","4","75867","54","21","-1","16","3990000","-1","2","1","120","60","60.0","60.0","2.0","1.0","false"
"Tcp","4","75867","70","21","-1","24","83000","-1","4","1","244","60","61.0","60.0","4.0","1.0","false"
"Icmp","4","75867","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75867","54","21","-1","17","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75868","54","80","-1","17","1316937000","1319110000","7","2","1720","120","245.0","60.0","1.1666666666666667","0.3333333333333333","false"
"Tcp","4","75868","54","80","-1","17","1114921000","1118683000","17","13","2294","28469","134.0","2189.0","2.125","1.625","false"
"Icmp","4","75868","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75868","54","80","-1","16","2356500000","-1","4","1","1043","638","260.0","638.0","2.0","0.5","false"
"Http","4","75869","729","80","-1","24","4573324000","-1","8","1","3808","604","476.0","604.0","1.1428571428571428","0.14285714285714285","false"
"Icmp","4","75869","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75870","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75870","54","80","-1","4","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75870","54","80","-1","4","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75870","54","80","-1","4","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75870","54","80","-1","4","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75870","54","80","-1","4","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75870","54","80","-1","4","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75870","54","80","-1","4","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75871","66","21","-1","2","0","-1","1","0","66","0","66.0","0.0","1.0","0.0","false"
"Tcp","4","75871","54","21","-1","16","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75871","54","80","-1","16","1303865000","1046669000","6","3","1901","1268","316.0","422.0","1.2","0.6","false"
"Tcp","4","75871","54","21","-1","17","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75871","54","80","-1","16","69000","11550000","10","11","3916","29102","391.0","2645.0","1.1111111111111112","1.2222222222222223","false"
"Tcp","4","75871","54","80","-1","16","57000","11550000","12","11","4024","29102","335.0","2645.0","1.3333333333333333","1.2222222222222223","false"
"Tcp","4","75871","54","80","-1","16","32000","11550000","14","11","4132","29102","295.0","2645.0","1.5555555555555556","1.2222222222222223","false"
"Tcp","4","75871","54","80","-1","16","55000","11550000","16","11","4240","29102","265.0","2645.0","1.7777777777777777","1.2222222222222223","false"
"Tcp","4","75871","66","80","-1","2","0","-1","1","0","66","0","66.0","0.0","1.0","0.0","false"
"Tcp","4","75871","66","80","-1","2","0","-1","1","0","66","0","66.0","0.0","1.0","0.0","false"
"Tcp","4","75871","66","80","-1","2","0","-1","1","0","66","0","66.0","0.0","1.0","0.0","false"
"Tcp","4","75872","54","80","-1","16","11028000","-1","2","0","120","0","60.0","0.0","2.0","0.0","false"
"Tcp","4","75872","54","80","-1","16","10989000","-1","2","0","120","0","60.0","0.0","2.0","0.0","false"
"Tcp","4","75872","54","80","-1","16","11021000","-1","2","0","120","0","60.0","0.0","2.0","0.0","false"
"Tcp","4","75872","740","80","-1","24","95000","-1","3","0","860","0","286.0","0.0","3.0","0.0","false"
"Http","4","75872","694","80","-1","24","187000","-1","3","0","814","0","271.0","0.0","3.0","0.0","false"
"Http","4","75872","687","80","-1","24","11179000","11550000","19","11","5687","29102","299.0","2645.0","1.9","1.1","false"
"Http","4","75872","719","80","-1","24","4708000","-1","4","0","1533","0","383.0","0.0","4.0","0.0","false"
"Tcp","4","75872","66","21","-1","2","0","-1","1","0","66","0","66.0","0.0","1.0","0.0","false"
"Tcp","4","75872","54","21","-1","16","3997000","-1","3","0","174","0","58.0","0.0","3.0","0.0","false"
"Tcp","4","75872","54","80","-1","16","107090000","-1","5","0","1599","0","319.0","0.0","5.0","0.0","false"
"Tcp","4","75872","54","80","-1","16","107308000","-1","5","0","1558","0","311.0","0.0","5.0","0.0","false"
"Tcp","4","75872","54","80","-1","16","111957000","11550000","20","11","5741","29102","287.0","2645.0","2.0","1.1","false"
"Http","4","75872","785","80","-1","24","18923000","-1","6","0","2384","0","397.0","0.0","6.0","0.0","false"
"Http","4","75872","837","80","-1","24","70060000","-1","7","0","3221","0","460.0","0.0","7.0","0.0","false"
"Http","4","75872","785","80","-1","24","102849000","-1","6","0","2343","0","390.0","0.0","6.0","0.0","false"
"Tcp","4","75873","54","80","-1","16","199139000","-1","7","0","2397","0","342.0","0.0","7.0","0.0","false"
"Icmp","4","75873","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75873","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75873","54","80","-1","16","2420628000","-1","7","1","2441","604","348.0","604.0","3.5","0.5","false"
"Tcp","4","75873","54","80","-1","16","70000","1015000","9","4","3329","16719","369.0","4179.0","4.5","2.0","false"
"Tcp","4","75873","54","80","-1","16","62000","1015000","11","4","3437","16719","312.0","4179.0","5.5","2.0","false"
"Tcp","4","75874","54","80","-1","16","30000","1015000","13","4","3545","16719","272.0","4179.0","6.5","2.0","false"
"Icmp","4","75874","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75875","54","80","-1","16","4799193000","4999338000","7","4","1955","1328","279.0","332.0","0.7777777777777778","0.4444444444444444","false"
"Tcp","4","75876","54","80","-1","16","4892926000","-1","5","1","917","60","183.0","60.0","1.0","0.2","false"
"Tcp","4","75876","54","80","-1","16","4893046000","4999727000","21","12","5795","29162","275.0","2430.0","1.5","0.8571428571428571","false"
"Tcp","4","75876","54","80","-1","16","4804148000","-1","8","1","2451","60","306.0","60.0","1.6","0.2","false"
"Tcp","4","75877","79","21","-1","24","5895686000","-1","5","1","323","91","64.0","91.0","1.0","0.2","false"
"Icmp","4","75877","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75878","54","80","-1","17","1833342000","1837529000","6","2","971","120","161.0","60.0","1.0","0.3333333333333333","false"
"Tcp","4","75878","54","80","-1","17","1620288000","1623272000","9","2","2505","120","278.0","60.0","1.2857142857142858","0.2857142857142857","false"
"Icmp","4","75878","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75878","54","80","-1","16","4847225000","5000362000","8","2","2495","664","311.0","332.0","1.1428571428571428","0.2857142857142857","false"
"Tcp","4","75878","66","80","-1","2","0","-1","1","0","66","0","66.0","0.0","1.0","0.0","false"
"Tcp","4","75878","66","80","-1","2","0","-1","1","0","66","0","66.0","0.0","1.0","0.0","false"
"Tcp","4","75878","54","80","-1","17","53265000","57019000","9","3","2549","724","283.0","241.0","1.2857142857142858","0.42857142857142855","false"
"Tcp","4","75879","54","80","-1","16","4030000","-1","2","0","120","0","60.0","0.0","2.0","0.0","false"
"Tcp","4","75879","54","80","-1","16","3945000","-1","2","0","120","0","60.0","0.0","2.0","0.0","false"
"Icmp","4","75879","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75880","54","80","-1","20","1660230000","729000","16","8","4382","27167","273.0","3395.0","1.7777777777777777","0.8888888888888888","false"
"Tcp","4","75880","54","80","-1","4","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75880","54","80","-1","4","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75880","54","80","-1","4","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75880","54","80","-1","4","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75880","54","80","-1","4","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75880","54","80","-1","4","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75880","54","80","-1","4","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75880","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75880","54","80","-1","16","66000","893000","5","8","957","27976","191.0","3497.0","2.5","4.0","false"
"Tcp","4","75881","54","80","-1","16","75000","13018000","7","9","1065","28234","152.0","3137.0","3.5","4.5","false"
"Tcp","4","75881","54","80","-1","16","32000","8006000","9","10","1173","28493","130.0","2849.0","4.5","5.0","false"
"Tcp","4","75881","54","80","-1","16","62000","281216000","11","11","1281","28553","116.0","2595.0","5.5","5.5","false"
"Tcp","4","75881","66","80","-1","2","0","-1","1","0","66","0","66.0","0.0","1.0","0.0","false"
