"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","exp(subject(org.jnetpcap.protocol.network.Ip4.destination)).enc_timed","exp(subject(org.jnetpcap.protocol.network.Ip4.destination)).enc_count","exp(subject(org.jnetpcap.protocol.network.Ip4.destination)).enc_tsize","exp(subject(org.jnetpcap.protocol.network.Ip4.destination)).enc_asize","exp(subject(org.jnetpcap.protocol.network.Ip4.destination)).enc_rateps","attack"
"Tcp","4","75844","54","80","-1","16","30970000","2","128","64.0","2.0","false"
"Icmp","4","75845","74","-1","-1","-1","1002653000","4","276","69.0","2.0","false"
"Icmp","4","75847","74","-1","-1","-1","1001694000","6","424","70.0","1.5","false"
"Tcp","4","75848","54","80","-1","17","20011000","8","552","69.0","1.6","false"
"Icmp","4","75850","74","-1","-1","-1","726484000","10","700","70.0","1.6666666666666667","false"
"Icmp","4","75851","74","-1","-1","-1","725147000","12","848","70.0","1.7142857142857142","false"
"Icmp","4","75852","74","-1","-1","-1","724510000","14","996","71.0","1.75","false"
"Icmp","4","75853","74","-1","-1","-1","721437000","16","1144","71.0","1.7777777777777777","false"
"Icmp","4","75854","74","-1","-1","-1","721509000","18","1292","71.0","1.8","false"
"Icmp","4","75855","74","-1","-1","-1","717478000","20","1440","72.0","1.8181818181818181","false"
"Icmp","4","75856","74","-1","-1","-1","715471000","22","1588","72.0","1.8333333333333333","false"
"Icmp","4","75857","74","-1","-1","-1","712453000","24","1736","72.0","1.8461538461538463","false"
"Icmp","4","75858","74","-1","-1","-1","709712000","26","1884","72.0","1.8571428571428572","false"
"Icmp","4","75859","74","-1","-1","-1","708479000","28","2032","72.0","1.8666666666666667","false"
"Tcp","4","75859","66","80","-1","2","4033000","31","2226","71.0","1.9375","false"
"Tcp","4","75859","729","80","-1","24","70000","32","2955","92.0","2.0","false"
"Icmp","4","75860","74","-1","-1","-1","296147000","34","3103","91.0","2.0","false"
"Icmp","4","75861","74","-1","-1","-1","297314000","36","3251","90.0","2.0","false"
"Tcp","4","75862","54","80","-1","16","91000","38","3359","88.0","2.111111111111111","false"
"Tcp","4","75862","54","80","-1","16","83000","40","3467","86.0","2.2222222222222223","false"
"Tcp","4","75862","54","80","-1","16","3805000","43","3629","84.0","2.388888888888889","false"
"Tcp","4","75862","54","80","-1","16","55000","44","3683","83.0","2.4444444444444446","false"
"Tcp","4","75862","66","80","-1","2","1921000","46","3803","82.0","2.5555555555555554","false"
"Tcp","4","75862","66","80","-1","2","35000","48","3935","81.0","2.6666666666666665","false"
"Tcp","4","75862","54","80","-1","16","35000","51","4109","80.0","2.6842105263157894","false"
"Tcp","4","75862","54","80","-1","16","2877000","53","4869","91.0","2.789473684210526","false"
"Http","4","75862","715","80","-1","24","87000","54","5584","103.0","2.8421052631578947","false"
"Tcp","4","75862","66","80","-1","2","35000","56","6390","114.0","2.9473684210526314","false"
"Http","4","75863","686","80","-1","24","32000","58","7130","122.0","3.0526315789473686","false"
"Http","4","75863","694","80","-1","24","49000","60","7878","131.0","3.1578947368421053","false"
"Http","4","75863","687","80","-1","24","2837000","62","9254","149.0","3.263157894736842","false"
"Http","4","75863","719","80","-1","24","3959000","64","10671","166.0","3.3684210526315788","false"
"Tcp","4","75863","54","80","-1","16","6714000","66","11435","173.0","3.473684210526316","false"
"Tcp","4","75863","54","80","-1","16","84000","68","11543","169.0","3.5789473684210527","false"
"Http","4","75863","785","80","-1","24","23879000","70","12382","176.0","3.6842105263157894","false"
"Http","4","75863","800","80","-1","24","1987000","72","14019","194.0","3.789473684210526","false"
