"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_timed","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_count","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_tsize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_asize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_rateps","attack"
"Tcp","4","75866","54","80","-1","16","3951000","2","120","60.0","2.0","false"
"Icmp","4","75866","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75866","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75866","54","80","-1","16","4894100000","5","922","184.0","1.0","false"
"Tcp","4","75867","54","80","-1","16","4894320000","6","1630","271.0","1.2","false"
"Tcp","4","75867","54","21","-1","16","3990000","2","120","60.0","2.0","false"
"Tcp","4","75867","70","21","-1","24","83000","4","244","61.0","4.0","false"
"Icmp","4","75867","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75867","54","21","-1","17","622300000","5","298","59.0","5.0","false"
"Tcp","4","75868","54","80","-1","17","1316937000","7","1720","245.0","1.1666666666666667","false"
"Tcp","4","75868","54","80","-1","17","1114921000","17","2294","134.0","2.125","false"
"Icmp","4","75868","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75868","54","80","-1","16","2356500000","4","1043","260.0","2.0","false"
"Http","4","75869","729","80","-1","24","4573324000","8","3808","476.0","1.1428571428571428","false"
"Icmp","4","75869","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Icmp","4","75870","74","-1","-1","-1","-1","-1","-1","-1.0","-1.0","false"
"Tcp","4","75870","54","80","-1","4","53000","16","4362","272.0","2.0","false"
"Tcp","4","75870","54","80","-1","4","34000","18","4470","248.0","2.25","false"
"Tcp","4","75870","54","80","-1","4","33000","20","4578","228.0","2.5","false"
"Tcp","4","75870","54","80","-1","4","32000","22","4686","213.0","2.75","false"
"Tcp","4","75870","54","80","-1","4","1707000","24","4794","199.0","3.0","false"
"Tcp","4","75870","54","80","-1","4","34000","26","4902","188.0","2.888888888888889","false"
"Tcp","4","75870","54","80","-1","4","32000","28","5010","178.0","3.111111111111111","false"
"Tcp","4","75871","66","21","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75871","54","21","-1","16","3983000","3","174","58.0","3.0","false"
"Tcp","4","75871","54","80","-1","16","1303865000","6","1901","316.0","1.2","false"
"Tcp","4","75871","54","21","-1","17","563351000","5","298","59.0","5.0","false"
