"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_timed","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_count","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_tsize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_asize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_rateps","attack"
"Icmp","4","75866","74","-1","-1","-1","82594000","96","15892","165.0","4.363636363636363","false"
"Icmp","4","75866","74","-1","-1","-1","42037000","35","4709","134.0","1.5217391304347827","false"
"Tcp","4","75866","54","80","-1","16","38001000","98","16000","163.0","4.260869565217392","false"
"Tcp","4","75867","54","80","-1","16","35000","100","16108","161.0","4.3478260869565215","false"
"Tcp","4","75867","54","21","-1","16","3990000","102","16228","159.0","4.434782608695652","false"
"Tcp","4","75867","70","21","-1","24","83000","104","16352","157.0","4.521739130434782","false"
"Icmp","4","75867","74","-1","-1","-1","213174000","106","16480","155.0","4.608695652173913","false"
"Tcp","4","75867","54","21","-1","17","362212000","107","16534","154.0","4.458333333333333","false"
"Tcp","4","75868","54","80","-1","17","98000","109","16642","152.0","4.541666666666667","false"
"Tcp","4","75868","54","80","-1","17","29000","112","17479","156.0","4.666666666666667","false"
"Icmp","4","75868","74","-1","-1","-1","97875000","113","17553","155.0","4.708333333333333","false"
"Tcp","4","75868","54","80","-1","16","22027000","38","4911","129.0","1.52","false"
"Http","4","75869","729","80","-1","24","154082000","115","18336","159.0","4.6","false"
"Icmp","4","75869","74","-1","-1","-1","322301000","116","18410","158.0","4.64","false"
"Icmp","4","75870","74","-1","-1","-1","1000600000","117","18484","157.0","4.5","false"
"Tcp","4","75870","54","80","-1","4","53000","119","18592","156.0","4.407407407407407","false"
"Tcp","4","75870","54","80","-1","4","34000","121","18700","154.0","4.481481481481482","false"
"Tcp","4","75870","54","80","-1","4","33000","123","18808","152.0","4.555555555555555","false"
"Tcp","4","75870","54","80","-1","4","32000","125","18916","151.0","4.62962962962963","false"
"Tcp","4","75870","54","80","-1","4","1707000","127","19024","149.0","4.703703703703703","false"
"Tcp","4","75870","54","80","-1","4","34000","129","19132","148.0","4.777777777777778","false"
"Tcp","4","75870","54","80","-1","4","32000","131","19240","146.0","4.851851851851852","false"
"Tcp","4","75871","66","21","-1","2","8841000","133","19360","145.0","4.925925925925926","false"
"Tcp","4","75871","54","21","-1","16","3983000","135","19468","144.0","5.0","false"
"Tcp","4","75871","54","80","-1","16","960639000","41","5843","142.0","1.5185185185185186","false"
"Tcp","4","75871","54","21","-1","17","563351000","137","19592","143.0","5.074074074074074","false"
"Tcp","4","75871","54","80","-1","16","69000","139","19700","141.0","5.148148148148148","false"
"Tcp","4","75871","54","80","-1","16","57000","141","19808","140.0","5.222222222222222","false"
"Tcp","4","75871","54","80","-1","16","32000","143","19916","139.0","5.107142857142857","false"
"Tcp","4","75871","54","80","-1","16","55000","145","20024","138.0","5.178571428571429","false"
"Tcp","4","75871","66","80","-1","2","10959000","147","20144","137.0","5.25","false"
"Tcp","4","75871","66","80","-1","2","40000","149","20276","136.0","5.321428571428571","false"
"Tcp","4","75871","66","80","-1","2","30000","151","20408","135.0","5.392857142857143","false"
"Tcp","4","75872","54","80","-1","16","10814000","153","21168","138.0","5.464285714285714","false"
"Tcp","4","75872","54","80","-1","16","41000","155","21276","137.0","5.535714285714286","false"
"Tcp","4","75872","54","80","-1","16","32000","157","21384","136.0","5.607142857142857","false"
"Tcp","4","75872","740","80","-1","24","33000","159","22839","143.0","5.678571428571429","false"
"Http","4","75872","694","80","-1","24","31000","161","24219","150.0","5.75","false"
"Http","4","75872","687","80","-1","24","31000","163","25595","157.0","5.821428571428571","false"
"Http","4","75872","719","80","-1","24","57000","165","27012","163.0","5.892857142857143","false"
"Tcp","4","75872","66","21","-1","2","3984000","168","27842","165.0","6.0","false"
"Tcp","4","75872","54","21","-1","16","3997000","169","27896","165.0","5.827586206896552","false"
"Tcp","4","75872","54","80","-1","16","12045000","171","28020","163.0","5.896551724137931","false"
"Tcp","4","75872","54","80","-1","16","42000","173","28128","162.0","5.9655172413793105","false"
"Tcp","4","75872","54","80","-1","16","30000","175","28236","161.0","6.0344827586206895","false"
"Http","4","75872","785","80","-1","24","38030000","178","29149","163.0","6.137931034482759","false"
"Http","4","75872","837","80","-1","24","32030000","179","29986","167.0","6.172413793103448","false"
"Http","4","75872","785","80","-1","24","8018000","181","31571","174.0","6.241379310344827","false"
"Tcp","4","75873","54","80","-1","16","199139000","182","31625","173.0","6.275862068965517","false"
"Icmp","4","75873","74","-1","-1","-1","755524000","183","31699","173.0","6.310344827586207","false"
"Icmp","4","75873","74","-1","-1","-1","999651000","184","31773","172.0","6.344827586206897","false"
"Tcp","4","75873","54","80","-1","16","458296000","185","31827","172.0","6.166666666666667","false"
"Tcp","4","75873","54","80","-1","16","70000","187","31935","170.0","6.233333333333333","false"
"Tcp","4","75873","54","80","-1","16","62000","189","32043","169.0","6.3","false"
"Tcp","4","75874","54","80","-1","16","30000","191","32151","168.0","6.366666666666666","false"
"Icmp","4","75874","74","-1","-1","-1","1002697000","47","6267","133.0","1.5161290322580645","false"
"Tcp","4","75875","54","80","-1","16","746476000","48","6321","131.0","1.5483870967741935","false"
"Tcp","4","75876","54","80","-1","16","834537000","194","32353","166.0","6.0625","false"
"Tcp","4","75876","54","80","-1","16","33000","196","32461","165.0","6.125","false"
"Tcp","4","75876","54","80","-1","16","47996000","198","32589","164.0","6.1875","false"
"Tcp","4","75877","79","21","-1","24","777379000","199","32668","164.0","6.03030303030303","false"
"Icmp","4","75877","74","-1","-1","-1","1000846000","51","6543","128.0","1.5","false"
"Tcp","4","75878","54","80","-1","17","81000","202","32850","162.0","5.9411764705882355","false"
"Tcp","4","75878","54","80","-1","17","31000","204","32958","161.0","6.0","false"
"Icmp","4","75878","74","-1","-1","-1","333049000","206","33761","163.0","6.0588235294117645","false"
"Tcp","4","75878","54","80","-1","16","104052000","208","33869","162.0","5.942857142857143","false"
"Tcp","4","75878","66","80","-1","2","53085000","209","33935","162.0","5.9714285714285715","false"
"Tcp","4","75878","66","80","-1","2","32000","211","34067","161.0","6.0285714285714285","false"
"Tcp","4","75878","54","80","-1","17","28000","213","34187","160.0","6.085714285714285","false"
"Tcp","4","75879","54","80","-1","16","66000","215","34295","159.0","6.142857142857143","false"
"Tcp","4","75879","54","80","-1","16","32000","217","34403","158.0","6.2","false"
"Icmp","4","75879","74","-1","-1","-1","639264000","219","35206","160.0","6.257142857142857","false"
"Tcp","4","75880","54","80","-1","20","859701000","220","35260","160.0","6.111111111111111","false"
"Tcp","4","75880","54","80","-1","4","32000","222","35368","159.0","6.166666666666667","false"
"Tcp","4","75880","54","80","-1","4","30000","224","35476","158.0","6.222222222222222","false"
"Tcp","4","75880","54","80","-1","4","31000","226","35584","157.0","6.277777777777778","false"
"Tcp","4","75880","54","80","-1","4","30000","228","35692","156.0","6.333333333333333","false"
"Tcp","4","75880","54","80","-1","4","2539000","230","35800","155.0","6.388888888888889","false"
"Tcp","4","75880","54","80","-1","4","32000","232","35908","154.0","6.27027027027027","false"
"Tcp","4","75880","54","80","-1","4","29000","234","36016","153.0","6.324324324324325","false"
"Icmp","4","75880","74","-1","-1","-1","1001704000","54","6765","125.0","1.4594594594594594","false"
"Tcp","4","75880","54","80","-1","16","66000","237","36198","152.0","6.405405405405405","false"
"Tcp","4","75881","54","80","-1","16","75000","239","36306","151.0","6.45945945945946","false"
"Tcp","4","75881","54","80","-1","16","32000","241","36414","151.0","6.513513513513513","false"
"Tcp","4","75881","54","80","-1","16","62000","243","36522","150.0","6.5675675675675675","false"
"Tcp","4","75881","66","80","-1","2","7932000","245","36642","149.0","6.621621621621622","false"
"Http","4","75881","706","80","-1","24","40000","247","37414","151.0","6.675675675675675","false"
"Http","4","75881","740","80","-1","24","38000","249","38869","156.0","6.72972972972973","false"
"Tcp","4","75881","54","80","-1","16","3744000","251","39609","157.0","6.783783783783784","false"
"Http","4","75881","694","80","-1","24","33000","253","40357","159.0","6.657894736842105","false"
"Http","4","75881","687","80","-1","24","1954000","255","41733","163.0","6.7105263157894735","false"
"Http","4","75881","719","80","-1","24","49000","257","43150","167.0","6.7631578947368425","false"
"Http","4","75881","785","80","-1","24","175169000","259","44645","172.0","6.815789473684211","false"
"Http","4","75881","837","80","-1","24","21014000","261","45536","174.0","6.868421052631579","false"
"Http","4","75881","785","80","-1","24","4000000","263","47121","179.0","6.921052631578948","false"
"Tcp","4","75882","54","80","-1","16","32000","266","47283","177.0","7.0","false"
"Tcp","4","75882","54","80","-1","16","30000","267","47337","177.0","7.026315789473684","false"
"Tcp","4","75882","54","80","-1","16","2754000","269","47445","176.0","7.078947368421052","false"
"Icmp","4","75882","74","-1","-1","-1","84000","271","47573","175.0","7.131578947368421","false"
"Icmp","4","75882","74","-1","-1","-1","1000584000","272","47647","175.0","7.157894736842105","false"
"Tcp","4","75883","60","21","-1","24","822518000","273","47707","174.0","7.0","false"
"Tcp","4","75883","54","80","-1","16","211173000","275","47835","173.0","7.051282051282051","false"
"Tcp","4","75883","54","80","-1","16","69000","277","47943","173.0","6.925","false"
"Tcp","4","75883","54","80","-1","16","68000","279","48051","172.0","6.975","false"
"Tcp","4","75883","54","80","-1","16","32000","281","48159","171.0","7.025","false"
"Icmp","4","75884","74","-1","-1","-1","767395000","282","48233","171.0","7.05","false"
"Icmp","4","75885","74","-1","-1","-1","999660000","283","48307","170.0","6.902439024390244","false"
"Tcp","4","75885","54","80","-1","16","592373000","284","48361","170.0","6.761904761904762","false"
"Tcp","4","75886","54","80","-1","16","44000","286","48469","169.0","6.809523809523809","false"
"Tcp","4","75886","74","80","-1","2","84000","2","148","74.0","2.0","true"
"Tcp","4","75886","66","80","-1","16","66000","4","280","70.0","4.0","true"
"Http","4","75886","726","80","-1","24","77000","6","1268","211.0","6.0","true"
"Tcp","4","75886","66","80","-1","16","62000","8","1400","175.0","8.0","true"
"Tcp","4","75886","66","80","-1","17","60000","10","1540","154.0","10.0","true"
